Id,Label,Station Id,Latitude,Longitude,Capacity,PhysicalConfiguration,PostalCode,PostalCodeArea,Name
Chester Subway Station,Chester Subway Station,7094,43.6784834,-79.3513564,9,REGULAR,M4K 3A2,M4K,Chester Station
Bond St / Queen St E,Bond St / Queen St E,7045,43.653236,-79.376716,25,REGULAR,NULL,NULL,Bond St / Queen St E
Danforth Ave / Aldridge Ave,Danforth Ave / Aldridge Ave,7087,43.684758,-79.316767,11,REGULAR,NULL,NULL,Danforth Ave / Aldridge Ave
Kingston Rd / Beech Ave,Kingston Rd / Beech Ave,7610,43.680095,-79.291714,15,REGULAR,M4E 1R9,M4E,Kingston Rd / Beech Ave
Lower Sherbourne St / The Esplanade,Lower Sherbourne St / The Esplanade,7101,43.648655,-79.367061,27,REGULAR,NULL,NULL,Lower Sherbourne St / The Esplanade
Bloor St W / Manning Ave - SMART,Bloor St W / Manning Ave - SMART,7239,43.663912,-79.416124,20,SMARTMAPFRAME,NULL,NULL,Bloor St W / Manning Ave - SMART
101 Cedarvale Ave,101 Cedarvale Ave,7708,43.6868681,-79.3110942,20,ELECTRICBIKESTATION,M4C 4J7,M4C,NULL
Eglinton Ave W / Henning Ave SMART,Eglinton Ave W / Henning Ave SMART,7371,43.7063473,-79.40161,20,SMARTMAPFRAME,NULL,NULL,Eglinton Ave W / Henning Ave SMART
Kendal Ave / Bernard Ave,Kendal Ave / Bernard Ave,7143,43.671513,-79.408317,15,REGULAR,NULL,NULL,Kendal Ave / Bernard Ave
Woodbine Subway Station,Woodbine Subway Station,7429,43.686442,-79.313404,15,SMARTMAPFRAME,M4C 4C1,M4C,Woodbine Subway Station
Davenport Rd / Bathurst St,Davenport Rd / Bathurst St,7137,43.676667,-79.416111,27,REGULAR,NULL,NULL,Davenport Rd / Bathurst St
Langford Ave / Danforth Ave - SMART,Langford Ave / Danforth Ave - SMART,7596,43.6800218,-79.3405681,16,SMARTMAPFRAME,M4J 1L7,M4J,Langford Ave / Danforth Ave - SMART
Carlton St / Parliament St,Carlton St / Parliament St,7114,43.664524,-79.36793,27,REGULAR,NULL,NULL,Carlton St / Parliament St
Antler St / Campbell Ave - SMART,Antler St / Campbell Ave - SMART,7477,43.664182,-79.449066,20,SMARTMAPFRAME,M6P 3V5,M6P,Antler St / Campbell Ave - SMART
Yonge St / Dundas Sq,Yonge St / Dundas Sq,7391,43.655766,-79.3802,27,REGULAR,NULL,NULL,Yonge St / Dundas Sq
Frobisher Ave / Lascelles Blvd,Frobisher Ave / Lascelles Blvd,7376,43.696708,-79.40045,19,REGULAR,NULL,NULL,Frobisher Ave / Lascelles Blvd
Bay St / Queens Quay W (Ferry Terminal),Bay St / Queens Quay W (Ferry Terminal),7016,43.640978,-79.376785,23,REGULAR,M5J,M5J,Bay St / Queens Quay W (Ferry Terminal)
